State,Continuum of Care (CoC),ES-SH-TH Median (Days),ES-SH-TH-PH 1st Time Homeless,Percent Returns in 6 mths,Percent Returns in 12 mths,"Percent with Successful  ES, TH, SH, PH-RRH Exit"
NC,Winston Salem/Forsyth County CoC,53,1125,0.157728707,0.199526814,0.391698113
NC,Asheville/Buncombe County CoC,44,1038,0.096818811,0.152143845,0.504941599
NC,Durham City & County CoC,67,952,0.097087379,0.14368932,0.536585366
NC,North Carolina Balance of State CoC,41,5222,0.082711864,0.127118644,0.424005558
NC,Greensboro/High Point CoC,40,2098,0.10365399,0.161819538,0.513136289
NC,Charlotte/Mecklenberg CoC,42,4479,0.065789474,0.106907895,0.369621773
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",32,991,0.103550296,0.162721893,0.298997265
NC,Raleigh/Wake County CoC,26,2876,0.081687612,0.135547576,0.294070726
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",43,500,0.086792453,0.128301887,0.380368098
NC,Fayetteville/Cumberland County CoC,28,615,0.015037594,0.015037594,0.221893491
NC,Chapel Hill/Orange County CoC,62,235,0.06122449,0.142857143,0.365517241
NC,Northwest North Carolina CoC,29,259,0.135802469,0.160493827,0.280821918
