State,Continuum of Care (CoC),ES-SH-TH Median (Days),ES-SH-TH-PH 1st Time Homeless,Percent Returns in 6 mths,Percent Returns in 12 mths,"Percent with Successful  ES, TH, SH, PH-RRH Exit"
NC,Winston-Salem/Forsyth County CoC,36,1361,0.07875,0.10875,0.268981754
NC,Asheville/Buncombe County CoC,78,836,0.101343101,0.147741148,0.646578141
NC,Durham City & County CoC,71,839,0.086553323,0.109737249,0.45505618
NC,North Carolina Balance of State CoC,37,5456,0.060689655,0.106206897,0.433162776
NC,"Greensboro, High Point CoC",55,1757,0.084480601,0.143929912,0.576192919
NC,Charlotte/Mecklenberg CoC,46,3371,0.099871959,0.146393513,0.591330552
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",33,925,0.130630631,0.18018018,0.458689459
NC,Raleigh/Wake County CoC,23,3170,0.106237149,0.217957505,0.242128387
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",30,620,0.052785924,0.064516129,0.575
NC,Fayetteville/Cumberland County CoC,430,276,0.121212121,0.191919192,0.833333333
NC,Chapel Hill/Orange County CoC,86,196,0.019607843,0.029411765,0.350649351
NC,Northwest North Carolina CoC,36,269,0.130434783,0.191304348,0.277777778
