State,Continuum of Care (CoC),ES-SH-TH Median (Days),ES-SH-TH-PH 1st Time Homeless,Percent Returns in 6 mths,Percent Returns in 12 mths,"Percent with Successful  ES, TH, SH, PH-RRH Exit"
NC,Winston-Salem/Forsyth County CoC,48,1116,0.074898785,0.087044534,0.256790123
NC,Asheville/Buncombe County CoC,126,696,0.063260341,0.097323601,0.453831041
NC,Durham City & County CoC,51,714,0.036144578,0.064257028,0.3375
NC,North Carolina Balance of State CoC,41,5439,0.060500963,0.095953757,0.386267491
NC,"Greensboro, High Point CoC",60,969,0.065104167,0.09375,0.471238938
NC,Charlotte/Mecklenberg CoC,66,3461,0.102123814,0.154541347,0.298404255
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",20,1135,0.026515152,0.037878788,0.289012004
NC,Raleigh/Wake County CoC,18,3025,0.114243323,0.152818991,0.183031459
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",29,443,0.141666667,0.15,0.289823009
NC,Fayetteville/Cumberland County CoC,51,561,0.031578947,0.052631579,0.360784314
NC,Chapel Hill/Orange County CoC,56,272,0.035353535,0.045454545,0.269662921
NC,Northwest North Carolina CoC,117,156,0.042016807,0.084033613,0.436619718
